Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Cetitan,82.2,975,ice,none,187.4,116,304,6605813,50,3519,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Mamoswine (Shadow),82.2,473,ice,ground,220.2,135.3,215,6403750,50,3763,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Dhelmise,82,781,ghost,grass,208.4,163,157,5333617,50,3335,Shadow Claw,Power Whip,Shadow Ball,7,7,5,50000
Skeledirge,82,911,fire,ghost,186.5,162.2,207,6262524,50,3422,Incinerate,Shadow Ball,Torch Song,3,3,3,10000
Salamence (Shadow),81.9,373,dragon,flying,245.4,153.8,194,7319888,50,4239,Dragon Tail,Outrage,Fly,7,5,5,75000
Tangrowth,81.9,465,grass,none,186.5,167.2,201,6270048,50,3425,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Togekiss,81.9,468,fairy,flying,201.7,194.9,178,6998226,50,3767,Charm,Psyshock,Flamethrower,7,10,3,50000
Armarouge,81.8,936,fire,psychic,209.2,168.1,178,6259189,50,3628,Incinerate,Psyshock,Flame Charge,2,3,5,50000
Hippowdon,81.5,450,ground,none,181.5,173.1,213,6692206,50,3488,Sand Attack,Weather Ball (Rock),Earth Power,9,14,3,50000
Magnezone (Shadow),81.3,462,electric,steel,212.6,184.9,157,6170376,50,3623,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Sneasler (Shadow),81.3,903,fighting,poison,230.2,145.4,172,5756969,50,3643,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Vaporeon,81.3,134,water,none,184.9,147.9,245,6698386,50,3521,Water Gun,Aqua Tail,Scald,12,17,5,75000
Swampert,81,260,water,ground,187.4,159.7,201,6013444,50,3362,Mud Shot,Hydro Cannon,Sludge Wave,5,9,3,10000
Snorlax (Shadow),80.9,143,normal,none,172.3,154.6,289,7697298,50,3647,Lick,Body Slam,Superpower,12,14,5,75000
Electivire,80.5,466,electric,none,221.8,149.6,164,5441724,50,3481,Thunder Shock,Wild Charge,Ice Punch,5,5,5,75000
Roserade,80.5,407,grass,poison,216.8,168.1,142,5173766,50,3359,Poison Sting,Weather Ball (Fire),Leaf Storm,4,7,3,50000
Salamence,80.3,373,dragon,flying,245.4,153.8,194,7319888,50,4239,Dragon Tail,Outrage,Fly,7,5,5,75000
Gallade,80.1,475,psychic,fighting,211.8,176.5,154,5754523,50,3497,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Gogoat,80.1,673,grass,none,177.3,135.3,235,5636960,50,3163,Vine Whip,Leaf Blade,Brick Break,5,5,3,50000
Conkeldurr (Shadow),79.9,534,fighting,none,216.8,145.4,208,6555380,50,3773,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Swampert (Shadow),79.9,260,water,ground,187.4,159.7,201,6013444,50,3362,Mud Shot,Hydro Cannon,Sludge Wave,5,9,3,10000
Sylveon,79.9,700,fairy,none,183.2,184.9,194,6569762,50,3470,Charm,Moonblast,Psyshock,10,7,5,75000
Tangrowth (Shadow),79.7,465,grass,none,186.5,167.2,201,6270048,50,3425,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Garchomp (Shadow),79.5,445,dragon,ground,231.9,174.8,213,8634174,50,4479,Dragon Tail,Outrage,Sand Tomb,7,5,5,75000
Conkeldurr,79.2,534,fighting,none,216.8,145.4,208,6555380,50,3773,Counter,Brutal Swing,Dynamic Punch,6,8,5,75000
Donphan,78.4,232,ground,none,192.4,168.1,186,6015160,50,3407,Mud Slap,Body Slam,Trailblaze,4,5,3,50000
Sneasler,78.4,903,fighting,poison,230.2,145.4,172,5756969,50,3643,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Magnezone,78.2,462,electric,steel,212.6,184.9,157,6170376,50,3623,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Venusaur,77.9,3,grass,poison,179,171.4,172,5277242,50,3075,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Decidueye,77.7,724,grass,ghost,189.1,163,168,5178003,50,3137,Astonish,Frenzy Plant,Spirit Shackle,5,4,3,10000
Magmortar (Shadow),77.4,467,fire,none,220.2,157.1,164,5673558,50,3541,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Excadrill,76.8,530,ground,steel,226.9,121,215,5902466,50,3667,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Golurk (Shadow),76.8,623,ground,ghost,199.2,142,184,5203812,50,3226,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Milotic,76.2,350,water,none,173.9,196.6,194,6635241,50,3398,Dragon Tail,Surf,Blizzard,5,9,5,75000
Venusaur (Shadow),76.2,3,grass,poison,179,171.4,172,5277242,50,3075,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Walrein,76.2,365,ice,water,165.5,160.5,215,5712245,50,3081,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Donphan (Shadow),76.1,232,ground,none,192.4,168.1,186,6015160,50,3407,Mud Slap,Body Slam,Trailblaze,4,5,3,50000
Snorlax,76,143,normal,none,172.3,154.6,289,7697298,50,3647,Lick,Body Slam,Superpower,12,14,5,75000
Empoleon (Shadow),75.7,395,water,steel,189.1,168.9,178,5684174,50,3279,Steel Wing,Hydro Cannon,Drill Peck,7,7,3,10000
Excadrill (Shadow),75.7,530,ground,steel,226.9,121,215,5902466,50,3667,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Gardevoir (Shadow),75.6,282,psychic,fairy,211.8,176.5,154,5754523,50,3497,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Tyranitar (Shadow),75.4,248,rock,dark,223.5,186.5,201,8381069,50,4335,Smack Down,Brutal Swing,Stone Edge,5,7,5,75000
Walrein (Shadow),75.3,365,ice,water,165.5,160.5,215,5712245,50,3081,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Ceruledge,75.1,937,fire,ghost,213.4,171.4,164,6000349,50,3586,Incinerate,Shadow Ball,Flame Charge,3,3,5,50000
Empoleon,74.7,395,water,steel,189.1,168.9,178,5684174,50,3279,Steel Wing,Hydro Cannon,Drill Peck,7,7,3,10000
Bewear,74.3,760,normal,fighting,202.5,131.1,231,6132286,50,3524,Shadow Claw,Superpower,Payback,5,8,1,10000
Scizor (Shadow),74.2,212,bug,steel,210.9,164.7,157,5453787,50,3393,Bullet Punch,Night Slash,Iron Head,5,8,5,75000
Typhlosion (Shadow),74.2,157,fire,none,200,158,168,5307779,50,3266,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Golurk,74,623,ground,ghost,199.2,142,184,5203812,50,3226,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Tyranitar,73.7,248,rock,dark,223.5,186.5,201,8381069,50,4335,Smack Down,Brutal Swing,Stone Edge,5,7,5,75000
Gardevoir,73.4,282,psychic,fairy,211.8,176.5,154,5754523,50,3497,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Tauros (Aqua),73.4,128,fighting,water,189.1,174.8,164,5419490,50,3207,Double Kick,Aqua Jet,Trailblaze,4,4,3,50000
Overqwil,73.2,904,dark,poison,199.2,156.3,178,5540514,50,3330,Poison Jab,Aqua Tail,Shadow Ball,5,8,5,75000
Leafeon,73.1,470,grass,none,194.1,196.6,149,5686995,50,3328,Quick Attack,Leaf Blade,Last Resort,5,7,5,75000
Incineroar,73,727,fire,dark,192.4,159.7,194,5960183,50,3387,Snarl,Blast Burn,Darkest Lariat,4,5,3,10000
Beartic,72.7,614,ice,none,208.4,140.3,194,5673338,50,3439,Powder Snow,Ice Punch,Surf,5,6,3,50000
Chandelure,72.6,609,ghost,fire,240.3,165.5,142,5649231,50,3695,Incinerate,Shadow Ball,Flame Charge,3,3,5,75000
Cursola,72.1,864,ghost,none,225.2,165.5,142,5293685,50,3463,Astonish,Night Shade,Power Gem,5,5,3,50000
Heracross,72,214,bug,fighting,209.2,163,172,5866759,50,3506,Counter,Close Combat,Rock Blast,8,7,3,50000
Tsareena,72,763,grass,none,199.2,176.5,160,5622848,50,3351,Magical Leaf,Triple Axel,Grass Knot,5,5,3,10000
Blastoise,71.9,9,water,none,156.3,186.5,170,4956597,50,2788,Rollout,Hydro Cannon,Ice Beam,4,5,3,10000
Vikavolt,71.9,738,bug,electric,226,145.4,167,5487615,50,3524,Volt Switch,X-Scissor,Fly,3,3,1,10000
Gigalith (Shadow),71.6,526,rock,none,202.5,181.5,178,6542738,50,3650,Mud Slap,Meteor Beam,Superpower,6,4,3,50000
Rhydon (Shadow),71.2,112,ground,rock,199.2,156.3,208,6474308,50,3594,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Passimian,71.1,766,fighting,none,199.2,147.1,201,5886419,50,3429,Counter,Close Combat,Superpower,8,7,3,75000
Typhlosion,70.9,157,fire,none,200,158,168,5307779,50,3266,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Volcarona,70.8,637,bug,fire,234.4,171.4,178,7153575,50,4106,Fire Spin,Overheat,Bug Buzz,6,6,5,75000
Chandelure (Shadow),70.7,609,ghost,fire,240.3,165.5,142,5649231,50,3695,Incinerate,Shadow Ball,Flame Charge,3,3,5,75000
Rillaboom,70.6,812,grass,none,213.4,153.8,201,6597048,50,3758,Razor Leaf,Grass Knot,Earth Power,13,14,3,10000
Typhlosion (Hisuian),70.5,157,fire,ghost,212.6,157.1,161,5378445,50,3385,Hex,Shadow Ball,Fire Punch,5,4,3,10000
Ursaring (Shadow),70.5,217,normal,none,210.9,133.6,186,5241463,50,3329,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Haxorus,70.4,612,dragon,none,251.2,157.1,166,6553746,50,4062,Counter,Breaking Swipe,Night Slash,6,6,5,75000
Poliwrath,70.4,62,water,fighting,165.5,167.2,186,5148740,50,2923,Counter,Scald,Icy Wind,9,8,3,50000
Bellibolt,70.3,939,electric,none,167.2,151.3,214,5412627,50,3010,Thunder Shock,Discharge,Zap Cannon,5,9,1,50000
Arboliva,70.2,930,grass,normal,196.6,171.4,168,5662707,50,3345,Magical Leaf,Earth Power,Trailblaze,6,5,3,50000
Sirfetch'd,70.2,865,fighting,none,221,160.5,145,5143111,50,3375,Counter,Close Combat,Leaf Blade,8,6,3,50000
Quaquaval,70,914,water,fighting,210.9,146.2,178,5489234,50,3411,Wing Attack,Close Combat,Aqua Jet,7,6,3,10000
Gourgeist (Super),69.9,711,ghost,grass,165.5,180.7,178,5323453,50,2976,Hex,Shadow Ball,Foul Play,5,4,5,75000
Muk (Shadow),69.6,89,poison,none,172.3,157.1,208,5630248,50,3117,Poison Jab,Dark Pulse,Thunder Punch,8,6,3,50000
Corviknight,69.4,823,flying,steel,149.6,173.9,198,5151388,50,2777,Sand Attack,Sky Attack,Iron Head,14,13,1,10000
Darmanitan (Standard),69.4,555,fire,none,233.6,108.4,208,5267040,50,3511,Incinerate,Rock Slide,Overheat,3,3,3,50000
Ampharos (Shadow),69.2,181,electric,none,189.9,154.6,186,5461450,50,3225,Volt Switch,Brutal Swing,Thunder Punch,3,3,5,75000
Decidueye (Hisuian),69.2,724,grass,fighting,191.6,158.8,184,5598649,50,3275,Magical Leaf,Aura Sphere,Aerial Ace,6,4,3,10000
Samurott (Shadow),69.1,503,water,none,190.7,144.5,194,5348411,50,3194,Fury Cutter,Hydro Cannon,Razor Shell,10,9,3,10000
Ampharos,68.9,181,electric,none,189.9,154.6,186,5461450,50,3225,Volt Switch,Brutal Swing,Thunder Punch,3,3,5,75000
Aurorus,68.8,699,rock,ice,168.9,149.6,235,5936803,50,3168,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Darmanitan (Galarian),68.8,555,ice,none,233.6,108.4,208,5267040,50,3511,Ice Fang,Avalanche,Superpower,8,7,3,50000
Magmortar,68.8,467,fire,none,220.2,157.1,164,5673558,50,3541,Fire Spin,Fire Punch,Thunderbolt,4,6,5,75000
Glaceon,68.7,471,ice,none,212.6,184.9,149,5855962,50,3535,Ice Shard,Avalanche,Icy Wind,5,5,5,75000
Ursaring,68.4,217,normal,none,210.9,133.6,186,5241463,50,3329,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Rhydon,68.3,112,ground,rock,199.2,156.3,208,6474308,50,3594,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Samurott,68.1,503,water,none,190.7,144.5,194,5348411,50,3194,Fury Cutter,Hydro Cannon,Razor Shell,10,9,3,10000
Cryogonal,68,615,ice,none,172.3,195.8,172,5801055,50,3163,Ice Shard,Triple Axel,Night Slash,5,4,5,75000
Blastoise (Shadow),67.8,9,water,none,156.3,186.5,170,4956597,50,2788,Rollout,Hydro Cannon,Ice Beam,4,5,3,10000
Poliwrath (Shadow),67.7,62,water,fighting,165.5,167.2,186,5148740,50,2923,Counter,Scald,Icy Wind,9,8,3,50000
Charizard (Shadow),67.6,6,fire,flying,200,158,168,5307779,50,3266,Dragon Breath,Blast Burn,Dragon Claw,17,12,3,10000
Kleavor,67.3,900,bug,rock,225.2,158.8,157,5615197,50,3557,Quick Attack,X-Scissor,Stone Edge,5,7,5,75000
Tauros (Combat),67.2,128,fighting,none,189.1,174.8,164,5419490,50,3207,Double Kick,Close Combat,Trailblaze,4,4,3,50000
Weavile,67.2,461,dark,ice,216.8,156.3,157,5319870,50,3397,Snarl,Avalanche,Focus Blast,4,6,3,50000
Darmanitan (Standard) (Shadow),67,555,fire,none,233.6,108.4,208,5267040,50,3511,Incinerate,Rock Slide,Overheat,3,3,3,50000
Delphox,67,655,fire,psychic,205.9,171.4,164,5787738,50,3459,Fire Spin,Blast Burn,Mystical Fire,5,5,3,10000
Charizard,66.9,6,fire,flying,200,158,168,5307779,50,3266,Dragon Breath,Blast Burn,Dragon Claw,17,12,3,10000
Krookodile,66.9,553,ground,dark,205,145.4,194,5782377,50,3444,Mud Slap,Crunch,Outrage,5,6,5,75000
Gourgeist (Large),66.4,711,ghost,grass,163,185.7,164,4964855,50,2850,Hex,Shadow Ball,Foul Play,5,4,5,75000
Muk,66.4,89,poison,none,172.3,157.1,208,5630248,50,3117,Poison Jab,Dark Pulse,Thunder Punch,8,6,3,50000
Muk (Alolan),66.3,89,poison,dark,172.3,157.1,208,5630248,50,3117,Poison Jab,Dark Pulse,Sludge Wave,8,10,3,50000
Weavile (Shadow),66.2,461,dark,ice,216.8,156.3,157,5319870,50,3397,Snarl,Avalanche,Focus Blast,4,6,3,50000
Escavalier,66,589,bug,steel,200,169.7,157,5329626,50,3266,Counter,Drill Run,Megahorn,8,10,3,50000
Espeon,66,196,psychic,none,231.9,159.7,149,5517187,50,3583,Confusion,Psychic Fangs,Shadow Ball,3,5,5,75000
Stoutland,66,508,normal,none,185.7,165.5,178,5472015,50,3196,Sand Attack,Wild Charge,Crunch,12,12,1,10000
Archeops (Shadow),65.9,567,rock,flying,258,129.4,164,5474843,50,3766,Wing Attack,Dragon Claw,Ancient Power,5,7,5,75000
Golem (Alolan),65.9,76,rock,electric,189.9,179,172,5846356,50,3334,Volt Switch,Wild Charge,Stone Edge,3,4,1,10000
Pangoro,65.9,675,fighting,dark,202.5,135.3,194,5315124,50,3281,Snarl,Close Combat,Night Slash,4,3,3,50000
Scizor,65.9,212,bug,steel,210.9,164.7,157,5453787,50,3393,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Hariyama (Shadow),65.7,297,fighting,none,188.2,108.4,266,5427354,50,3198,Counter,Close Combat,Superpower,8,7,3,50000
Torterra,65.4,389,grass,ground,182.3,170.6,194,6034291,50,3318,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Polteageist,65.3,855,ghost,none,221,171.4,142,5379514,50,3458,Hex,Shadow Ball,Dark Pulse,5,4,3,50000
Revavroom,65.2,966,steel,poison,205,153.8,172,5422981,50,3337,Poison Jab,Overheat,Gyro Ball,8,9,3,50000
Golem (Alolan) (Shadow),65.1,76,rock,electric,189.9,179,172,5846356,50,3334,Volt Switch,Wild Charge,Stone Edge,3,4,1,10000
Centiskorch,65,851,fire,bug,197.5,145.4,201,5770039,50,3381,Ember,Lunge,Crunch,8,8,5,75000
Torterra (Shadow),65,389,grass,ground,182.3,170.6,194,6034291,50,3318,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Escavalier (Shadow),64.8,589,bug,steel,200,169.7,157,5329626,50,3266,Counter,Drill Run,Megahorn,8,10,3,50000
Gliscor,64.6,472,ground,flying,168.1,199.2,164,5488971,50,3043,Wing Attack,Night Slash,Earthquake,5,10,5,75000
Tentacruel,64.6,73,water,poison,152.1,188.2,172,4924065,50,2738,Poison Jab,Scald,Blizzard,8,11,3,50000
Pinsir (Shadow),64.5,127,bug,none,212.6,165.5,149,5243747,50,3345,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Tauros (Blaze),64.5,128,fighting,fire,189.1,174.8,164,5419490,50,3207,Double Kick,Trailblaze,Flame Charge,4,5,3,50000
Hariyama,64.4,297,fighting,none,188.2,108.4,266,5427354,50,3198,Counter,Close Combat,Heavy Slam,8,9,3,50000
Porygon-Z,63.7,474,normal,none,234.4,138.6,178,5785980,50,3693,Lock On,Tri Attack,Blizzard,10,15,3,50000
Arcanine,63.6,59,fire,none,203.4,152.1,186,5752752,50,3425,Snarl,Wild Charge,Crunch,4,4,3,50000
Arcanine (Shadow),63.4,59,fire,none,203.4,152.1,186,5752752,50,3425,Snarl,Wild Charge,Crunch,4,4,3,50000
Samurott (Hisuian),63.4,503,water,dark,195.8,140.3,186,5110391,50,3167,Snarl,Icy Wind,Razor Shell,4,3,3,10000
Relicanth,63.3,369,water,rock,148.7,183.2,201,5476393,50,2858,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Pyroar,63.1,668,fire,normal,198.3,137.8,180,4919230,50,3129,Incinerate,Flame Charge,Dark Pulse,3,3,3,10000
Exeggutor (Alolan),62.9,103,grass,dragon,205.9,141.2,194,5638270,50,3407,Dragon Tail,Seed Bomb,Draco Meteor,5,8,3,50000
Exeggutor (Alolan) (Shadow),62.3,103,grass,dragon,205.9,141.2,194,5638270,50,3407,Dragon Tail,Seed Bomb,Draco Meteor,5,8,3,50000
Golem (Shadow),62.1,76,rock,ground,189.9,179,172,5846356,50,3334,Mud Shot,Stone Edge,Rock Blast,7,5,1,10000
Muk (Alolan) (Shadow),62.1,89,poison,dark,172.3,157.1,208,5630248,50,3117,Poison Jab,Dark Pulse,Sludge Wave,8,10,3,50000
Luxray,62,405,electric,none,207.6,143.7,172,5129680,50,3265,Spark,Wild Charge,Crunch,7,7,5,75000
Tentacruel (Shadow),61.9,73,water,poison,152.1,188.2,172,4924065,50,2738,Poison Jab,Scald,Blizzard,8,11,3,50000
Jolteon,61.7,135,electric,none,207.6,165.5,149,5119390,50,3265,Volt Switch,Discharge,Last Resort,3,4,5,75000
Pinsir,61.7,127,bug,none,212.6,165.5,149,5243747,50,3345,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Flareon,61.6,136,fire,none,219.3,163,149,5327179,50,3424,Fire Spin,Superpower,Flamethrower,4,6,5,75000
Stonjourner,61.6,874,rock,none,199.2,165.5,201,6626426,50,3638,Rock Throw,Stone Edge,Rock Slide,11,9,5,75000
Aggron,61.4,306,steel,rock,179,228.6,157,6422689,50,3391,Dragon Tail,Rock Tomb,Thunder,6,7,1,10000
Exeggutor (Shadow),61.3,103,grass,psychic,208.4,137.8,194,5571421,50,3408,Bullet Seed,Seed Bomb,Psychic,4,5,3,50000
Mr. Rime,61.3,866,ice,psychic,190.7,163,172,5348411,50,3196,Ice Shard,Triple Axel,Ice Punch,5,4,5,75000
Aggron (Shadow),60.6,306,steel,rock,179,228.6,157,6422689,50,3391,Dragon Tail,Rock Tomb,Thunder,6,7,1,10000
Drampa,60.5,780,normal,dragon,206.7,150.4,168,5223555,50,3294,Dragon Breath,Fly,Outrage,15,20,5,75000
Luxray (Shadow),60.5,405,electric,none,207.6,143.7,172,5129680,50,3265,Spark,Wild Charge,Crunch,7,7,5,75000
Gigalith,60.4,526,rock,none,202.5,181.5,178,6542738,50,3650,Smack Down,Superpower,Meteor Beam,5,8,3,50000
Exeggutor,60.1,103,grass,psychic,208.4,137.8,194,5571421,50,3408,Confusion,Seed Bomb,Psychic,4,5,3,50000
Slowking (Galarian),60.1,199,poison,psychic,172.3,163.9,194,5475943,50,3072,Hex,Surf,Shadow Ball,4,5,3,50000
Obstagoon (Shadow),59.6,862,dark,normal,163.9,175.6,190,5467682,50,2999,Counter,Night Slash,Cross Chop,6,6,3,10000
Cinderace,59.4,815,fire,none,212.6,149.6,172,5469375,50,3412,Fire Spin,Flame Charge,Focus Blast,5,8,3,10000
Archeops,59.3,567,rock,flying,258,129.4,164,5474843,50,3766,Wing Attack,Dragon Claw,Ancient Power,5,7,5,75000
Barbaracle,59.3,689,rock,water,175.6,184.9,160,5194667,50,3025,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Porygon-Z (Shadow),59.3,474,normal,none,234.4,138.6,178,5785980,50,3693,Lock On,Tri Attack,Blizzard,10,15,3,50000
Wyrdeer,59.3,899,normal,psychic,185.7,134.4,205,5118408,50,3089,Confusion,Wild Charge,Stomp,4,4,5,75000
Klinklang,59.2,601,steel,none,179.8,192.4,142,4913674,50,2981,Thunder Shock,Mirror Shot,Zap Cannon,4,9,5,75000
Druddigon,59,621,dragon,none,191.6,155.5,167,4973840,50,3088,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Obstagoon,59,862,dark,normal,163.9,175.6,190,5467682,50,2999,Counter,Night Slash,Obstruct,6,7,3,10000
Gliscor (Shadow),58.6,472,ground,flying,168.1,199.2,164,5488971,50,3043,Wing Attack,Night Slash,Aerial Ace,5,6,5,75000
Seismitoad,58.3,537,water,ground,170.6,138.6,208,4919399,50,2899,Mud Shot,Earth Power,Muddy Water,7,5,3,50000
Slowbro,58.3,80,water,psychic,161.3,163.9,194,5128688,50,2877,Confusion,Surf,Ice Beam,4,5,3,50000
Braviary,57.9,628,normal,flying,207.6,140.3,201,5854344,50,3491,Steel Wing,Close Combat,Brave Bird,8,10,5,75000
Crabominable,57.8,740,fighting,ice,206.7,128.6,196,5208964,50,3286,Bubble,Ice Punch,Brick Break,4,4,3,50000
Kingdra,57.7,230,water,dragon,175.6,175.6,164,5058307,50,2986,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Emboar,57.4,500,fire,fighting,210.1,119.3,215,5389340,50,3372,Ember,Blast Burn,Rock Slide,9,8,3,10000
Golem,57.2,76,rock,ground,189.9,179,172,5846356,50,3334,Mud Shot,Stone Edge,Rock Blast,7,5,1,10000
