Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Lapras (Shadow),89.3,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Pangoro,89.3,675,fighting,dark,134.5,92,134,1658196,19,1496,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Grumpig (Shadow),89.2,326,psychic,none,114.5,128.3,133,1953798,24,1498,Psywave,Dynamic Punch,Shadow Ball,12,14,1,10000
Steelix,89.2,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Toxapex,89.2,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Machoke (Shadow),89.1,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,4,5,3,50000
Morpeko (Full Belly),89.1,877,electric,dark,141.7,97.8,114,1580701,29,1499,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Dusclops (Shadow),89,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Golurk (Shadow),89,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Bastiodon,88.9,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Tinkatuff,88.7,958,fairy,steel,104.2,134.4,149,2087357,50,1477,Fairy Wind,Play Rough,Flash Cannon,7,8,3,75000
Claydol,88.6,344,ground,psychic,102.7,173.3,121,2153472,28.5,1488,Mud Slap,Rock Tomb,Ice Beam,5,6,3,50000
Clefable,88.6,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Swift,7,4,1,10000
Furret,88.6,162,normal,none,116.1,105.4,158,1933854,34.5,1500,Sucker Punch,Swift,Trailblaze,5,7,1,10000
Stunfisk,88.6,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Togedemaru,88.6,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Primeape (Shadow),88.5,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Golisopod,88.4,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,X-Scissor,Aqua Jet,5,5,1,10000
Emolga,88.3,587,electric,flying,127.9,111.4,123,1752744,39,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Jumpluff,88.1,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Marowak (Shadow),88.1,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Sandslash (Alolan),88.1,28,ice,steel,116.6,132.6,124,1917384,23,1500,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Quagsire (Shadow),87.9,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Drapion (Shadow),87.8,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Guzzlord,87.8,799,dark,dragon,113.3,65.5,266,1972626,19.5,1494,Dragon Tail,Brutal Swing,Sludge Bomb,4,6,20,100000
Dachsbun,87.7,927,fairy,none,113.1,156.9,111,1970234,27,1493,Charm,Psychic Fangs,Body Slam,6,6,3,50000
Marowak (Alolan) (Shadow),87.6,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Weezing (Galarian),87.6,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Cradily,87.5,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Tomb,Grass Knot,4,4,3,50000
Steelix (Shadow),87.5,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Aurorus,87.4,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Marowak (Alolan),87.3,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Bone Club,Shadow Bone,4,5,3,50000
Diggersby (Shadow),87.1,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Scorching Sands,Fire Punch,7,5,1,10000
Medicham,87.1,308,fighting,psychic,106.9,139.5,141,2102958,49,1500,Psycho Cut,Ice Punch,Dynamic Punch,5,5,3,50000
Machamp (Shadow),87,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Marowak,87,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Swalot,86.9,317,poison,none,104.1,123.4,168,2158208,28.5,1500,Mud Shot,Sludge,Ice Beam,5,7,1,10000
Spiritomb,86.7,442,ghost,dark,121.2,146.4,104,1845420,27.5,1498,Sucker Punch,Rock Tomb,Shadow Ball,8,8,5,75000
Blastoise,86.6,9,water,none,111.5,140.7,127,1992357,22.5,1492,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Runerigus,86.6,867,ground,ghost,112.2,168.3,106,2002086,25,1500,Shadow Claw,Rock Tomb,Shadow Ball,7,7,3,50000
Ninetales (Alolan) (Shadow),86.5,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Quagsire,86.5,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Registeel,86.5,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Sandslash (Alolan) (Shadow),86.5,28,ice,steel,116.6,132.6,124,1917384,23,1500,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Drifblim,86.4,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Serperior,86.4,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Ninetales (Alolan),86.3,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Drapion,86.1,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Drifblim (Shadow),86,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Gallade (Shadow),86,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Electivire (Shadow),85.9,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Moltres (Galarian),85.9,146,dark,flying,115.1,137.5,122,1930734,17.5,1493,Sucker Punch,Ancient Power,Brave Bird,7,8,20,100000
Wigglytuff,85.9,40,normal,fairy,115.8,75.5,220,1924765,29,1495,Charm,Icy Wind,Swift,8,6,1,10000
Bastiodon (Shadow),85.8,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Golurk,85.8,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Lickitung,85.8,108,normal,none,98.3,126.9,183,2282878,50,1498,Lick,Body Slam,Power Whip,12,17,3,50000
Thievul,85.8,828,dark,none,121.7,123.1,123,1842937,26.5,1498,Sucker Punch,Night Slash,Play Rough,5,9,1,10000
Annihilape,85.6,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Rage Fist,Close Combat,6,8,3,50000
Talonflame,85.6,663,fire,flying,122.1,114.7,131,1834291,25.5,1499,Incinerate,Fly,Brave Bird,3,3,1,10000
Zapdos (Shadow),85.6,145,electric,flying,137.3,102.6,116,1633088,15.5,1498,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Goodra,85.5,706,dragon,none,119.7,136.8,114,1866601,16,1497,Dragon Breath,Aqua Tail,Thunder Punch,12,14,5,75000
Greninja,85.4,658,water,dark,139.6,101.6,113,1602682,21,1497,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Swampert (Shadow),85.4,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Armarouge,85.3,936,fire,psychic,133.6,110.6,114,1684722,17.5,1500,Incinerate,Psyshock,Flame Charge,2,3,5,50000
Froslass,85.3,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Hex,Avalanche,Shadow Ball,4,5,3,50000
Blastoise (Shadow),85.2,9,water,none,111.5,140.7,127,1992357,22.5,1492,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Qwilfish,85.2,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Donphan (Shadow),85,232,ground,none,125.8,112,126,1776372,18.5,1500,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Linoone,84.9,264,normal,none,114.6,112.2,152,1953755,39,1497,Shadow Claw,Swift,Grass Knot,5,7,1,10000
Machamp,84.9,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Whiscash (Shadow),84.9,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Walrein,84.8,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Abomasnow (Shadow),84.7,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Cresselia,84.7,488,psychic,none,93.2,158.3,163,2404853,20,1497,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Florges,84.7,671,fairy,none,120.1,142.1,109,1859855,17,1494,Fairy Wind,Moonblast,Trailblaze,7,5,3,50000
Lanturn,84.7,171,water,electric,104.8,104.8,194,2131348,27,1496,Water Gun,Surf,Thunderbolt,15,19,3,50000
Melmetal,84.6,809,steel,none,121.5,107.8,141,1846977,15.5,1500,Thunder Shock,Double Iron Bash,Superpower,4,5,20,100000
Dewgong,84.5,87,water,ice,102.9,133.8,158,2174933,29,1500,Ice Shard,Icy Wind,Drill Run,5,5,3,50000
Skeledirge,84.5,911,fire,ghost,121.2,109.2,139,1839651,18.5,1496,Incinerate,Torch Song,Shadow Ball,3,3,3,10000
Whiscash,84.5,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Cetoddle,84.4,974,ice,none,112.6,79.8,213,1914594,50,1469,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Dunsparce,84.4,206,normal,none,104.8,111,183,2127733,37.5,1496,Rollout,Drill Run,Rock Slide,4,4,3,50000
Froslass (Shadow),84.4,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Hex,Avalanche,Shadow Ball,4,5,3,50000
Mew,84.4,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Psyshock,6,5,20,100000
Ursaring (Shadow),84.4,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Swift,Close Combat,5,6,3,50000
Cradily (Shadow),84.2,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Tomb,Grass Knot,4,4,3,50000
Swampert,84.2,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Arctibax,84.1,997,dragon,ice,123.1,97.7,151,1815086,26.5,1499,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Hakamo-o,84.1,783,dragon,fighting,115.5,134.8,124,1931380,36.5,1493,Dragon Tail,Dragon Claw,Brick Break,4,5,5,75000
Electrode (Hisuian),84,101,electric,grass,123.3,130.1,113,1812571,26,1495,Thunder Shock,Wild Charge,Swift,5,4,3,50000
Serperior (Shadow),84,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Walrein (Shadow),83.9,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Amoonguss,83.8,591,grass,poison,110.4,102,181,2038411,27,1500,Astonish,Grass Knot,Foul Play,5,4,3,50000
Lickilicky,83.8,463,normal,none,106.3,121.1,164,2111832,23,1498,Rollout,Body Slam,Shadow Ball,3,5,3,50000
Meganium,83.8,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Mightyena (Shadow),83.8,262,dark,none,125.9,104.3,134,1759749,29,1491,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Pachirisu,83.7,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Chesnaught,83.6,652,grass,fighting,119.9,124.6,125,1868328,19,1498,Vine Whip,Frenzy Plant,Superpower,6,5,3,10000
Magcargo,83.6,219,fire,rock,110.2,157.9,116,2017737,36.5,1492,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Qwilfish (Hisuian),83.6,211,dark,poison,129.5,111.3,120,1729959,25.5,1497,Poison Sting,Aqua Tail,Shadow Ball,4,7,3,50000
Regirock,83.6,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Zweilous,83.6,634,dark,dragon,121,109.2,140,1849588,31,1496,Dragon Breath,Dark Pulse,Body Slam,17,12,5,75000
Gliscor (Shadow),83.5,472,ground,flying,115.7,143.9,116,1930695,21,1496,Sand Attack,Earthquake,Aerial Ace,17,10,5,75000
Hippowdon (Shadow),83.5,450,ground,none,116.2,116.8,141,1912627,18,1494,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Abomasnow,83.4,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Icy Wind,Energy Ball,6,7,3,50000
Charjabug,83.4,737,bug,electric,116.1,132.4,126,1936447,38,1500,Volt Switch,X-Scissor,Discharge,3,3,1,10000
Dragalge,83.4,691,poison,dragon,117.9,139.9,115,1895881,23.5,1496,Dragon Tail,Aqua Tail,Sludge Bomb,4,6,3,50000
Forretress,83.4,205,bug,steel,110.2,141.6,130,2028758,25,1496,Volt Switch,Rock Tomb,Earthquake,4,5,5,75000
Gliscor,83.4,472,ground,flying,115.7,143.9,116,1930695,21,1496,Sand Attack,Earthquake,Aerial Ace,17,10,5,75000
Dragonair (Shadow),83.3,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Body Slam,Aqua Tail,12,12,5,75000
Gligar (Shadow),83.2,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Skarmory,83.2,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,10,10,5,75000
Venusaur,83.2,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Dragonite (Shadow),83.1,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Lokix,83.1,920,bug,dark,132.9,104.1,121,1672678,24,1491,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Whimsicott,83.1,547,grass,fairy,118.4,133.1,119,1875239,27.5,1490,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Zapdos,83.1,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Gogoat,83,673,grass,none,119.2,95,165,1867240,19.5,1492,Vine Whip,Leaf Blade,Brick Break,5,5,3,50000
Bombirdier,82.9,962,flying,dark,128,115.3,118,1741817,22.5,1496,Sucker Punch,Fly,Rock Tomb,7,8,5,75000
Leavanny,82.9,542,bug,grass,131,109,120,1713215,22,1499,Shadow Claw,Leaf Blade,X-Scissor,5,5,1,10000
Raichu (Alolan),82.9,26,electric,psychic,136.2,111.7,108,1643875,24.5,1499,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Umbreon,82.9,197,dark,none,90.2,177,155,2475791,27,1497,Snarl,Dark Pulse,Last Resort,4,5,5,75000
Dragonite,82.8,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Gallade,82.8,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Ariados,82.7,168,bug,poison,124.7,102,141,1793573,34,1497,Poison Sting,Lunge,Trailblaze,5,5,1,10000
Hippopotas,82.7,449,ground,none,115.3,111.1,152,1946522,49,1498,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Klefki,82.7,707,steel,fairy,119,134.2,118,1884790,29.5,1499,Astonish,Foul Play,Play Rough,4,6,3,50000
Kommo-o,82.7,784,dragon,fighting,123.7,138.4,105,1797551,16.5,1497,Dragon Tail,Close Combat,Dragon Claw,5,4,5,75000
Cetitan,82.6,975,ice,none,120.7,75.9,203,1861103,18,1500,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Glalie,82.6,362,ice,none,115.2,120.1,140,1937229,27,1498,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Samurott,82.6,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Stunfisk (Galarian),82.6,618,ground,steel,101.8,127.9,169,2200089,26.5,1497,Mud Shot,Rock Slide,Earthquake,6,9,5,75000
Donphan,82.5,232,ground,none,125.8,112,126,1776372,18.5,1500,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Glalie (Shadow),82.5,362,ice,none,115.2,120.1,140,1937229,27,1498,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Gligar,82.5,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Piloswine (Shadow),82.5,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Ursaring,82.5,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Swift,Close Combat,5,6,3,50000
Mightyena,82.4,262,dark,none,125.9,104.3,134,1759749,29,1491,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Amoonguss (Shadow),82.3,591,grass,poison,110.4,102,181,2038411,27,1500,Astonish,Grass Knot,Foul Play,5,4,3,50000
Ninetales,82.3,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Piloswine,82.3,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Tropius,82.3,357,grass,flying,101.4,127.3,170,2195741,29,1494,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Electivire,82.2,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Suicune,82.2,245,water,none,107.4,141.9,137,2089025,18.5,1499,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Araquanid,82.1,752,water,bug,97.9,176.1,133,2292389,33.5,1499,Bug Bite,Bug Buzz,Bubble Beam,20,14,3,50000
Bronzong,82.1,437,steel,psychic,111.3,151.8,119,2010401,25.5,1498,Confusion,Psyshock,Payback,4,5,3,50000
Magnezone,82.1,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Gengar (Shadow),82,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Punch,Sludge Bomb,5,7,3,50000
Hippowdon,82,450,ground,none,116.2,116.8,141,1912627,18,1494,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Skuntank,82,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Dragonair,81.9,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Aqua Tail,Body Slam,12,12,5,75000
Typhlosion (Shadow),81.9,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Venusaur (Shadow),81.9,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Castform (Rainy),81.7,351,water,none,113.4,119.6,146,1979669,38.5,1499,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Oranguru,81.7,765,normal,psychic,110.9,131.2,139,2021720,22.5,1499,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Overqwil,81.7,904,dark,poison,131.6,106.6,121,1696708,19,1498,Poison Jab,Aqua Tail,Shadow Ball,5,8,5,75000
Avalugg,81.6,713,ice,none,112.9,142.5,124,1994682,17.5,1500,Ice Fang,Avalanche,Body Slam,8,6,3,50000
Ferrothorn,81.6,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Grimer,81.6,88,poison,none,121.5,88,171,1827419,49.5,1493,Mud Slap,Sludge,Mud Bomb,4,4,3,50000
Trevenant,81.6,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,6,7,5,75000
Cresselia (Shadow),81.5,488,psychic,none,93.2,159.3,161,2389933,19.5,1492,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Lurantis,81.5,754,grass,none,126.9,114.6,121,1760366,23.5,1495,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Samurott (Shadow),81.5,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Ninetales (Shadow),81.4,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Wailmer (Shadow),81.4,320,water,none,117.4,68.3,239,1916533,48.5,1500,Rollout,Scald,Body Slam,4,3,1,10000
Giratina (Origin),81.3,487,ghost,dragon,119.5,103.5,152,1879872,15,1499,Shadow Claw,Ominous Wind,Shadow Ball,6,7,20,100000
Wartortle,81.3,8,water,none,107.9,137.8,139,2067932,48,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Altaria,81.2,334,dragon,flying,103.4,153.3,136,2156405,28.5,1498,Dragon Breath,Sky Attack,Moonblast,19,20,1,10000
Gourgeist (Super),81.2,711,ghost,grass,115.8,128.8,130,1939976,21.5,1499,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Nidorina,81.2,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Thunderbolt,5,7,3,50000
Regirock (Shadow),81.1,377,rock,none,105.4,182.5,111,2135412,18,1500,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Cofagrigus,81,563,ghost,none,112.2,168.3,106,2002086,25,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Dedenne,81,702,electric,fairy,124.2,108.7,133,1795844,30.5,1497,Thunder Shock,Parabolic Charge,Play Rough,6,7,3,50000
Mantine,81,226,water,flying,106.2,163.1,122,2113576,27,1499,Wing Attack,Aerial Ace,Ice Beam,6,8,5,75000
